Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A
N1,09/08/2024,19:00,Groningen,NAC Breda,4.0,1.0,H,3.0,0.0,H,17.0,7.0,9.0,3.0,8.0,1.0,7.0,7.0,1.0,3.0,0.0,1.0,1.62,4.0,5.5
N1,10/08/2024,15:30,Feyenoord,Willem II,1.0,1.0,D,1.0,0.0,H,21.0,2.0,7.0,1.0,14.0,3.0,8.0,21.0,1.0,4.0,0.0,0.0,1.13,8.0,21.0
N1,10/08/2024,17:45,Nijmegen,Twente,1.0,2.0,A,1.0,1.0,D,12.0,15.0,2.0,5.0,7.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,3.75,3.6,1.95
N1,10/08/2024,19:00,Almere City,AZ Alkmaar,0.0,1.0,A,0.0,1.0,A,7.0,6.0,2.0,3.0,2.0,8.0,13.0,9.0,1.0,2.0,2.0,1.0,5.75,4.0,1.6
N1,10/08/2024,20:00,PSV Eindhoven,Waalwijk,5.0,1.0,H,3.0,0.0,H,19.0,8.0,12.0,4.0,7.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,1.09,11.0,21.0
N1,11/08/2024,11:15,Sparta Rotterdam,Heracles,0.0,0.0,D,0.0,0.0,D,9.0,10.0,1.0,2.0,3.0,4.0,12.0,14.0,1.0,1.0,0.0,0.0,1.5,4.5,6.0
N1,11/08/2024,13:30,Go Ahead Eagles,For Sittard,0.0,2.0,A,0.0,0.0,D,18.0,13.0,4.0,4.0,6.0,3.0,13.0,10.0,1.0,1.0,0.0,0.0,2.0,3.4,3.9
N1,11/08/2024,13:30,Utrecht,Zwolle,1.0,0.0,H,1.0,0.0,H,9.0,5.0,2.0,1.0,2.0,1.0,18.0,10.0,0.0,3.0,0.0,0.0,1.45,4.5,7.0
N1,11/08/2024,15:45,Ajax,Heerenveen,1.0,0.0,H,1.0,0.0,H,12.0,7.0,4.0,2.0,5.0,2.0,10.0,8.0,0.0,2.0,0.0,0.0,1.45,4.5,6.5
N1,16/08/2024,19:00,For Sittard,Almere City,3.0,0.0,H,1.0,0.0,H,20.0,8.0,9.0,4.0,9.0,3.0,8.0,12.0,2.0,3.0,0.0,0.0,1.8,3.6,4.5
