season,date,home_team,away_team,home_score,away_score
1956-1957,1956-09-02,Ajax,NAC Breda,1,0
1956-1957,1956-09-02,BVV Den Bosch,Elinkwijk,1,2
1956-1957,1956-09-02,DOS,Sparta Rotterdam,2,3
1956-1957,1956-09-02,Fortuna Sittard,Eindhoven,4,1
1956-1957,1956-09-02,NOAD,BVC Amsterdam,1,3
1956-1957,1956-09-02,PSV,MVV,1,3
1956-1957,1956-09-02,SC Enschede,Roda JC,5,2
1956-1957,1956-09-02,VVV-Venlo,GVAV,1,0
1956-1957,1956-09-02,Willem II,Feyenoord,3,3
1956-1957,1956-09-09,BVC Amsterdam,Willem II,0,6
1956-1957,1956-09-09,Eindhoven,VVV-Venlo,0,2
1956-1957,1956-09-09,Elinkwijk,SC Enschede,1,5
1956-1957,1956-09-09,Feyenoord,BVV Den Bosch,5,1
1956-1957,1956-09-09,GVAV,DOS,3,2
1956-1957,1956-09-09,MVV,Fortuna Sittard,1,0
1956-1957,1956-09-09,NAC Breda,NOAD,2,2
1956-1957,1956-09-09,Roda JC,PSV,3,1
1956-1957,1956-09-09,Sparta Rotterdam,Ajax,1,2
1956-1957,1956-09-23,Ajax,GVAV,4,2
1956-1957,1956-09-23,BVV Den Bosch,Willem II,3,2
1956-1957,1956-09-23,DOS,Eindhoven,0,1
1956-1957,1956-09-23,Fortuna Sittard,Roda JC,5,0
1956-1957,1956-09-23,NAC Breda,BVC Amsterdam,3,1
1956-1957,1956-09-23,NOAD,Sparta Rotterdam,3,0
1956-1957,1956-09-23,PSV,Elinkwijk,0,3
1956-1957,1956-09-23,SC Enschede,Feyenoord,2,3
1956-1957,1956-09-23,VVV-Venlo,MVV,1,3
1956-1957,1956-09-30,BVC Amsterdam,BVV Den Bosch,3,2
1956-1957,1956-09-30,Eindhoven,Ajax,0,3
1956-1957,1956-09-30,Elinkwijk,Fortuna Sittard,2,2
1956-1957,1956-09-30,Feyenoord,PSV,2,0
1956-1957,1956-09-30,GVAV,NOAD,2,0
1956-1957,1956-09-30,MVV,DOS,2,5
1956-1957,1956-09-30,Roda JC,VVV-Venlo,2,0
1956-1957,1956-09-30,Sparta Rotterdam,NAC Breda,1,4
1956-1957,1956-09-30,Willem II,SC Enschede,2,2
1956-1957,1956-10-07,Ajax,MVV,2,0
1956-1957,1956-10-07,DOS,Roda JC,2,0
1956-1957,1956-10-07,Fortuna Sittard,Feyenoord,3,2
1956-1957,1956-10-07,NAC Breda,GVAV,2,0
1956-1957,1956-10-07,NOAD,Eindhoven,2,0
1956-1957,1956-10-07,PSV,Willem II,3,1
1956-1957,1956-10-07,SC Enschede,BVV Den Bosch,4,1
1956-1957,1956-10-07,Sparta Rotterdam,BVC Amsterdam,1,1
1956-1957,1956-10-07,VVV-Venlo,Elinkwijk,2,1
1956-1957,1956-10-21,BVC Amsterdam,SC Enschede,0,2
1956-1957,1956-10-21,BVV Den Bosch,PSV,0,3
1956-1957,1956-10-21,Eindhoven,NAC Breda,2,2
1956-1957,1956-10-21,Elinkwijk,DOS,1,6
1956-1957,1956-10-21,Feyenoord,VVV-Venlo,3,0
1956-1957,1956-10-21,GVAV,Sparta Rotterdam,2,2
1956-1957,1956-10-21,MVV,NOAD,3,0
1956-1957,1956-10-21,Roda JC,Ajax,4,2
1956-1957,1956-10-21,Willem II,Fortuna Sittard,2,3
1956-1957,1956-10-28,Ajax,Elinkwijk,1,0
1956-1957,1956-10-28,DOS,Feyenoord,4,0
1956-1957,1956-10-28,Fortuna Sittard,BVV Den Bosch,4,1
1956-1957,1956-10-28,GVAV,BVC Amsterdam,1,1
1956-1957,1956-10-28,NAC Breda,MVV,2,1
1956-1957,1956-10-28,NOAD,Roda JC,3,2
1956-1957,1956-10-28,PSV,SC Enschede,1,5
1956-1957,1956-10-28,Sparta Rotterdam,Eindhoven,6,0
1956-1957,1956-10-28,VVV-Venlo,Willem II,3,1
1956-1957,1956-11-11,BVC Amsterdam,PSV,1,3
1956-1957,1956-11-11,BVV Den Bosch,VVV-Venlo,1,4
1956-1957,1956-11-11,Eindhoven,GVAV,1,1
1956-1957,1956-11-11,Elinkwijk,NOAD,2,3
1956-1957,1956-11-11,Feyenoord,Ajax,7,3
1956-1957,1956-11-11,MVV,Sparta Rotterdam,3,2
1956-1957,1956-11-11,Roda JC,NAC Breda,5,1
1956-1957,1956-11-11,SC Enschede,Fortuna Sittard,4,1
1956-1957,1956-11-11,Willem II,DOS,2,3
1956-1957,1956-11-18,Ajax,Willem II,5,0
1956-1957,1956-11-18,DOS,BVV Den Bosch,1,3
1956-1957,1956-11-18,Eindhoven,BVC Amsterdam,1,1
1956-1957,1956-11-18,Fortuna Sittard,PSV,1,3
1956-1957,1956-11-18,GVAV,MVV,0,0
1956-1957,1956-11-18,NAC Breda,Elinkwijk,2,1
1956-1957,1956-11-18,NOAD,Feyenoord,0,0
1956-1957,1956-11-18,Sparta Rotterdam,Roda JC,4,3
1956-1957,1956-11-25,Elinkwijk,Sparta Rotterdam,1,3
1956-1957,1956-11-25,Feyenoord,NAC Breda,2,2
1956-1957,1956-11-25,MVV,Eindhoven,3,0
1956-1957,1956-11-25,PSV,VVV-Venlo,0,1
1956-1957,1956-12-02,Ajax,SC Enschede,1,2
1956-1957,1956-12-02,DOS,PSV,2,8
1956-1957,1956-12-02,Eindhoven,Roda JC,0,2
1956-1957,1956-12-02,GVAV,Elinkwijk,1,2
1956-1957,1956-12-02,MVV,BVC Amsterdam,2,0
1956-1957,1956-12-02,NAC Breda,Willem II,2,1
1956-1957,1956-12-02,NOAD,BVV Den Bosch,0,0
1956-1957,1956-12-02,Sparta Rotterdam,Feyenoord,0,4
1956-1957,1956-12-02,VVV-Venlo,Fortuna Sittard,2,3
1956-1957,1956-12-09,BVC Amsterdam,VVV-Venlo,4,1
1956-1957,1956-12-09,BVV Den Bosch,NAC Breda,8,0
1956-1957,1956-12-09,Elinkwijk,Eindhoven,5,2
1956-1957,1956-12-09,Feyenoord,GVAV,2,1
1956-1957,1956-12-09,Fortuna Sittard,DOS,4,1
1956-1957,1956-12-09,PSV,Ajax,2,3
1956-1957,1956-12-09,Roda JC,MVV,1,1
1956-1957,1956-12-09,SC Enschede,NOAD,1,1
1956-1957,1956-12-09,Willem II,Sparta Rotterdam,0,0
1956-1957,1956-12-16,Ajax,Fortuna Sittard,0,2
1956-1957,1956-12-16,DOS,VVV-Venlo,1,3
1956-1957,1956-12-16,Eindhoven,Feyenoord,0,1
1956-1957,1956-12-16,GVAV,Willem II,5,3
1956-1957,1956-12-16,MVV,Elinkwijk,2,0
1956-1957,1956-12-16,NAC Breda,SC Enschede,1,1
1956-1957,1956-12-16,NOAD,PSV,2,3
1956-1957,1956-12-16,Roda JC,BVC Amsterdam,2,2
1956-1957,1956-12-16,Sparta Rotterdam,BVV Den Bosch,3,3
1956-1957,1956-12-23,BVC Amsterdam,DOS,1,2
1956-1957,1956-12-23,BVV Den Bosch,GVAV,1,2
1956-1957,1956-12-23,Elinkwijk,Roda JC,1,4
1956-1957,1956-12-23,Feyenoord,MVV,2,2
1956-1957,1956-12-23,Fortuna Sittard,NOAD,0,3
1956-1957,1956-12-23,PSV,NAC Breda,2,5
1956-1957,1956-12-23,SC Enschede,Sparta Rotterdam,1,1
