season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1956-1957,1956-09-02,Ajax,NAC Breda,1,0,home_win,1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,BVV Den Bosch,Elinkwijk,1,2,away_win,-1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,DOS,Sparta Rotterdam,2,3,away_win,-1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,Fortuna Sittard,Eindhoven,4,1,home_win,1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,NOAD,BVC Amsterdam,1,3,away_win,-1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,PSV,MVV,1,3,away_win,-1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,SC Enschede,Roda JC,5,2,home_win,1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,VVV-Venlo,GVAV,1,0,home_win,1,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-02,Willem II,Feyenoord,3,3,draw,0,1000,1000,,,,,0,0,0,0,0,0,0,0,0.0,,,0
1956-1957,1956-09-09,Sparta Rotterdam,Ajax,1,2,away_win,-1,1016.0,1016.0,3,3,1,1,0,0,0,0,0,0,0,0,0.0,,,0.0
1956-1957,1956-09-09,Roda JC,PSV,3,1,home_win,1,984.0,984.0,0,0,-3,-2,0,0,0,0,0,0,0,0,0.0,,,0.0
1956-1957,1956-09-09,NAC Breda,NOAD,2,2,draw,0,984.0,984.0,0,0,-1,-2,0,0,0,0,0,0,0,0,0.0,,,0.0
1956-1957,1956-09-09,MVV,Fortuna Sittard,1,0,home_win,1,1016.0,1016.0,3,3,2,3,0,0,0,0,0,0,0,0,0.0,,,0.0
1956-1957,1956-09-09,Eindhoven,VVV-Venlo,0,2,away_win,-1,984.0,1016.0,0,3,-3,1,0,0,0,0,0,0,0,0,0.0,,,-32.0
1956-1957,1956-09-09,Feyenoord,BVV Den Bosch,5,1,home_win,1,1000.0,984.0,1,0,0,-1,0,0,0,0,0,0,0,0,0.0,,,16.0
1956-1957,1956-09-09,Elinkwijk,SC Enschede,1,5,away_win,-1,1016.0,1016.0,3,3,1,3,0,0,0,0,0,0,0,0,0.0,,,0.0
1956-1957,1956-09-09,BVC Amsterdam,Willem II,0,6,away_win,-1,1016.0,1000.0,3,1,2,0,0,0,0,0,0,0,0,0,0.0,,,16.0
1956-1957,1956-09-09,GVAV,DOS,3,2,home_win,1,984.0,984.0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.0,,,0.0
1956-1957,1956-09-23,PSV,Elinkwijk,0,3,away_win,-1,968.0,1000.0,0.0,3.5999999999999996,-4,-3,0,0,0,0,0,0,0,0,0.0,0.0,1.0,-32.0
1956-1957,1956-09-23,VVV-Venlo,MVV,1,3,away_win,-1,1030.5304984710244,1032.0,6.6,6.6,3,3,0,0,0,0,0,0,0,0,0.0,1.0,1.0,-1.4695015289755702
