Seizoen,Datum,Thuisclub,Uitclub,Thuisscore,Uitscore
1956-1957,1956-09-02,Ajax,NAC,1,0
1956-1957,1956-09-02,BVV,Elinkwijk,1,2
1956-1957,1956-09-02,DOS,Sparta,2,3
1956-1957,1956-09-02,Fortuna `54,Eindhoven,4,1
1956-1957,1956-09-02,NOAD,BVC Amsterdam,1,3
1956-1957,1956-09-02,PSV,MVV,1,3
1956-1957,1956-09-02,SC Enschede,Rapid JC,5,2
1956-1957,1956-09-02,VVV,GVAV,1,0
1956-1957,1956-09-02,Willem II,Feijenoord,3,3
1956-1957,1956-09-09,BVC Amsterdam,Willem II,0,6
1956-1957,1956-09-09,Eindhoven,VVV,0,2
1956-1957,1956-09-09,Elinkwijk,SC Enschede,1,5
1956-1957,1956-09-09,Feijenoord,BVV,5,1
1956-1957,1956-09-09,GVAV,DOS,3,2
1956-1957,1956-09-09,MVV,Fortuna `54,1,0
1956-1957,1956-09-09,NAC,NOAD,2,2
1956-1957,1956-09-09,Rapid JC,PSV,3,1
1956-1957,1956-09-09,Sparta,Ajax,1,2
1956-1957,1956-09-23,Ajax,GVAV,4,2
1956-1957,1956-09-23,BVV,Willem II,3,2
1956-1957,1956-09-23,DOS,Eindhoven,0,1
1956-1957,1956-09-23,Fortuna `54,Rapid JC,5,0
1956-1957,1956-09-23,NAC,BVC Amsterdam,3,1
1956-1957,1956-09-23,NOAD,Sparta,3,0
1956-1957,1956-09-23,PSV,Elinkwijk,0,3
1956-1957,1956-09-23,SC Enschede,Feijenoord,2,3
1956-1957,1956-09-23,VVV,MVV,1,3
1956-1957,1956-09-30,BVC Amsterdam,BVV,3,2
1956-1957,1956-09-30,Eindhoven,Ajax,0,3
1956-1957,1956-09-30,Elinkwijk,Fortuna `54,2,2
1956-1957,1956-09-30,Feijenoord,PSV,2,0
1956-1957,1956-09-30,GVAV,NOAD,2,0
1956-1957,1956-09-30,MVV,DOS,2,5
1956-1957,1956-09-30,Rapid JC,VVV,2,0
1956-1957,1956-09-30,Sparta,NAC,1,4
1956-1957,1956-09-30,Willem II,SC Enschede,2,2
1956-1957,1956-10-07,Ajax,MVV,2,0
1956-1957,1956-10-07,DOS,Rapid JC,2,0
1956-1957,1956-10-07,Fortuna `54,Feijenoord,3,2
1956-1957,1956-10-07,NAC,GVAV,2,0
1956-1957,1956-10-07,NOAD,Eindhoven,2,0
1956-1957,1956-10-07,PSV,Willem II,3,1
1956-1957,1956-10-07,SC Enschede,BVV,4,1
1956-1957,1956-10-07,Sparta,BVC Amsterdam,1,1
1956-1957,1956-10-07,VVV,Elinkwijk,2,1
1956-1957,1956-10-21,BVC Amsterdam,SC Enschede,0,2
1956-1957,1956-10-21,BVV,PSV,0,3
1956-1957,1956-10-21,Eindhoven,NAC,2,2
1956-1957,1956-10-21,Elinkwijk,DOS,1,6
1956-1957,1956-10-21,Feijenoord,VVV,3,0
1956-1957,1956-10-21,GVAV,Sparta,2,2
1956-1957,1956-10-21,MVV,NOAD,3,0
1956-1957,1956-10-21,Rapid JC,Ajax,4,2
1956-1957,1956-10-21,Willem II,Fortuna `54,2,3
1956-1957,1956-10-28,Ajax,Elinkwijk,1,0
1956-1957,1956-10-28,DOS,Feijenoord,4,0
1956-1957,1956-10-28,Fortuna `54,BVV,4,1
1956-1957,1956-10-28,GVAV,BVC Amsterdam,1,1
1956-1957,1956-10-28,NAC,MVV,2,1
1956-1957,1956-10-28,NOAD,Rapid JC,3,2
1956-1957,1956-10-28,PSV,SC Enschede,1,5
1956-1957,1956-10-28,Sparta,Eindhoven,6,0
1956-1957,1956-10-28,VVV,Willem II,3,1
1956-1957,1956-11-11,BVC Amsterdam,PSV,1,3
1956-1957,1956-11-11,BVV,VVV,1,4
1956-1957,1956-11-11,Eindhoven,GVAV,1,1
1956-1957,1956-11-11,Elinkwijk,NOAD,2,3
1956-1957,1956-11-11,Feijenoord,Ajax,7,3
1956-1957,1956-11-11,MVV,Sparta,3,2
1956-1957,1956-11-11,Rapid JC,NAC,5,1
1956-1957,1956-11-11,SC Enschede,Fortuna `54,4,1
1956-1957,1956-11-11,Willem II,DOS,2,3
1956-1957,1956-11-18,Ajax,Willem II,5,0
1956-1957,1956-11-18,DOS,BVV,1,3
1956-1957,1956-11-18,Eindhoven,BVC Amsterdam,1,1
1956-1957,1956-11-18,Fortuna `54,PSV,1,3
1956-1957,1956-11-18,GVAV,MVV,0,0
1956-1957,1956-11-18,NAC,Elinkwijk,2,1
1956-1957,1956-11-18,NOAD,Feijenoord,0,0
1956-1957,1956-11-18,Sparta,Rapid JC,4,3
1956-1957,1956-11-25,Elinkwijk,Sparta,1,3
1956-1957,1956-11-25,Feijenoord,NAC,2,2
1956-1957,1956-11-25,MVV,Eindhoven,3,0
1956-1957,1956-11-25,PSV,VVV,0,1
1956-1957,1956-12-02,Ajax,SC Enschede,1,2
1956-1957,1956-12-02,DOS,PSV,2,8
1956-1957,1956-12-02,Eindhoven,Rapid JC,0,2
1956-1957,1956-12-02,GVAV,Elinkwijk,1,2
1956-1957,1956-12-02,MVV,BVC Amsterdam,2,0
1956-1957,1956-12-02,NAC,Willem II,2,1
1956-1957,1956-12-02,NOAD,BVV,0,0
1956-1957,1956-12-02,Sparta,Feijenoord,0,4
1956-1957,1956-12-02,VVV,Fortuna `54,2,3
1956-1957,1956-12-09,BVC Amsterdam,VVV,4,1
1956-1957,1956-12-09,BVV,NAC,8,0
1956-1957,1956-12-09,Elinkwijk,Eindhoven,5,2
1956-1957,1956-12-09,Feijenoord,GVAV,2,1
1956-1957,1956-12-09,Fortuna `54,DOS,4,1
1956-1957,1956-12-09,PSV,Ajax,2,3
1956-1957,1956-12-09,Rapid JC,MVV,1,1
1956-1957,1956-12-09,SC Enschede,NOAD,1,1
1956-1957,1956-12-09,Willem II,Sparta,0,0
1956-1957,1956-12-16,Ajax,Fortuna `54,0,2
1956-1957,1956-12-16,DOS,VVV,1,3
1956-1957,1956-12-16,Eindhoven,Feijenoord,0,1
1956-1957,1956-12-16,GVAV,Willem II,5,3
1956-1957,1956-12-16,MVV,Elinkwijk,2,0
1956-1957,1956-12-16,NAC,SC Enschede,1,1
1956-1957,1956-12-16,NOAD,PSV,2,3
1956-1957,1956-12-16,Rapid JC,BVC Amsterdam,2,2
1956-1957,1956-12-16,Sparta,BVV,3,3
1956-1957,1956-12-23,BVC Amsterdam,DOS,1,2
1956-1957,1956-12-23,BVV,GVAV,1,2
1956-1957,1956-12-23,Elinkwijk,Rapid JC,1,4
1956-1957,1956-12-23,Feijenoord,MVV,2,2
1956-1957,1956-12-23,Fortuna `54,NOAD,0,3
1956-1957,1956-12-23,PSV,NAC,2,5
1956-1957,1956-12-23,SC Enschede,Sparta,1,1
1956-1957,1956-12-23,VVV,Ajax,0,0
1956-1957,1956-12-23,Willem II,Eindhoven,3,2
1956-1957,1956-12-26,BVV,Ajax,3,1
1956-1957,1956-12-26,VVV,SC Enschede,0,1
1956-1957,1956-12-30,Ajax,DOS,1,2
1956-1957,1956-12-30,Eindhoven,BVV,2,3
1956-1957,1956-12-30,Elinkwijk,BVC Amsterdam,0,2
1956-1957,1956-12-30,MVV,Willem II,0,0
1956-1957,1956-12-30,NAC,Fortuna `54,0,2
1956-1957,1956-12-30,NOAD,VVV,1,2
1956-1957,1956-12-30,Rapid JC,Feijenoord,4,1
1956-1957,1956-12-30,Sparta,PSV,3,4
1956-1957,1957-01-06,Ajax,BVC Amsterdam,2,3
1956-1957,1957-01-06,BVV,MVV,2,0
1956-1957,1957-01-06,DOS,NOAD,3,1
1956-1957,1957-01-06,Feijenoord,Elinkwijk,3,1
1956-1957,1957-01-06,Fortuna `54,Sparta,1,1
1956-1957,1957-01-06,PSV,GVAV,5,2
1956-1957,1957-01-06,SC Enschede,Eindhoven,6,1
1956-1957,1957-01-06,VVV,NAC,1,0
1956-1957,1957-01-06,Willem II,Rapid JC,1,2
1956-1957,1957-01-13,BVC Amsterdam,Feijenoord,2,1
1956-1957,1957-01-13,Eindhoven,PSV,0,2
1956-1957,1957-01-13,GVAV,Fortuna `54,2,0
1956-1957,1957-01-13,MVV,SC Enschede,0,0
1956-1957,1957-01-13,NAC,DOS,4,4
1956-1957,1957-01-13,NOAD,Ajax,1,4
1956-1957,1957-01-13,Rapid JC,BVV,4,3
1956-1957,1957-01-13,Sparta,VVV,1,1
1956-1957,1957-01-20,BVC Amsterdam,NOAD,1,0
1956-1957,1957-01-20,Eindhoven,Fortuna `54,1,5
1956-1957,1957-01-20,Elinkwijk,BVV,4,2
1956-1957,1957-01-20,Feijenoord,Willem II,2,1
1956-1957,1957-01-20,GVAV,VVV,0,1
1956-1957,1957-01-20,MVV,PSV,5,0
1956-1957,1957-01-20,NAC,Ajax,1,1
1956-1957,1957-01-20,Sparta,DOS,4,2
1956-1957,1957-01-27,Ajax,Sparta,2,1
1956-1957,1957-01-27,BVV,Feijenoord,0,5
1956-1957,1957-01-27,DOS,GVAV,7,1
1956-1957,1957-01-27,Fortuna `54,MVV,1,1
1956-1957,1957-01-27,NOAD,NAC,2,1
1956-1957,1957-01-27,PSV,Rapid JC,4,1
1956-1957,1957-01-27,SC Enschede,Elinkwijk,4,2
1956-1957,1957-01-27,VVV,Eindhoven,2,1
1956-1957,1957-01-27,Willem II,BVC Amsterdam,1,2
1956-1957,1957-02-03,BVC Amsterdam,NAC,0,1
1956-1957,1957-02-03,Eindhoven,DOS,0,1
1956-1957,1957-02-03,Elinkwijk,PSV,0,6
1956-1957,1957-02-03,Feijenoord,SC Enschede,2,2
1956-1957,1957-02-03,GVAV,Ajax,1,1
1956-1957,1957-02-03,MVV,VVV,1,0
1956-1957,1957-02-03,Rapid JC,Fortuna `54,0,1
1956-1957,1957-02-03,Sparta,NOAD,2,1
1956-1957,1957-02-03,Willem II,BVV,1,0
1956-1957,1957-02-10,Ajax,Eindhoven,3,1
1956-1957,1957-02-10,BVV,BVC Amsterdam,5,2
1956-1957,1957-02-10,DOS,MVV,1,2
1956-1957,1957-02-10,Fortuna `54,Elinkwijk,8,1
1956-1957,1957-02-10,NAC,Sparta,3,4
1956-1957,1957-02-10,NOAD,GVAV,3,2
1956-1957,1957-02-10,PSV,Feijenoord,3,1
1956-1957,1957-02-10,SC Enschede,Willem II,5,1
1956-1957,1957-02-10,VVV,Rapid JC,2,1
1956-1957,1957-02-17,BVC Amsterdam,Sparta,1,1
1956-1957,1957-02-17,BVV,SC Enschede,2,2
1956-1957,1957-02-17,Eindhoven,NOAD,3,1
1956-1957,1957-02-17,Elinkwijk,VVV,2,2
1956-1957,1957-02-17,Feijenoord,Fortuna `54,4,0
1956-1957,1957-02-17,GVAV,NAC,1,2
1956-1957,1957-02-17,MVV,Ajax,1,1
1956-1957,1957-02-17,Rapid JC,DOS,0,3
